asin,name,date,rating,review
B07WHJ5X6Q,Mamaearth-Vitamin-Face-Turmeric-Illumination,2020-06-25,5,Consistency is gel like and has a light scent of orange which is refreshing I don’t mind the scent though..And I love this product after first time use. My skin is smooth and supple now It definitely brightens my skin after wash and leaves no dry stretchy skin. I would recommend this product it’s good refreshing face wash.
B07WHJ5X6Q,Mamaearth-Vitamin-Face-Turmeric-Illumination,2020-09-01,4,It says vitamin c but it has only lemon essential oil which is not vitamin c. Vitamin c is water soluble substance which offcourse doesn't exist in lemon oil and in this product. But it is a nice facewash. Very hydrating
B07WHJ5X6Q,Mamaearth-Vitamin-Face-Turmeric-Illumination,2020-07-02,5,This Mama Earth Vitamin C Face wash is really amazing ... it has got the benefits of Vitamin C and Turmeric .. it’s totally paraben and SLS free .. it suits all skin types .. it’s made of natural ingredients which are good for the skin .. this is truly the best Face wash I’ve ever used .. a must buy for all .. a value for money product undoubtedly!!
B07WHJ5X6Q,Mamaearth-Vitamin-Face-Turmeric-Illumination,2020-10-05,1,"Don't believe positive reviews of this product...Whoever said in negative reviews are genuine..I too experienced same as like negative comments..In single wash, my face became too darker than before..I was shocked after seeing the results....I was purchased by believing all positive comments..Have doubt on ingredients ..Please don't purchase this product.. Otherwise you ended with darker skin on face.."
B07WHJ5X6Q,Mamaearth-Vitamin-Face-Turmeric-Illumination,2020-10-14,1,"Don't buy if you want your skin to be like what you've now. If you want pimples you can. I usually don't get pimples. Have oily skin, but i maintain my diet. But this product will make sure you get atleast 2 pimples. I tested it twice by not using it for few days in the middle and my skin went to normal. But when i used it again the same happened.I tested again after few months and the same result."
B07WHJ5X6Q,Mamaearth-Vitamin-Face-Turmeric-Illumination,2020-11-21,1,"This was for my son to wash his face if he kept the face wash on his hand for about 5 minutes his hands got super dry and skin coming out. I don't recommend this product. It's not the first time, the quality of cosmetics on Amazon is not good,  you get many fake products.  It's not the way amazon gives their products to customers"
B07WHJ5X6Q,Mamaearth-Vitamin-Face-Turmeric-Illumination,2021-08-06,1,This is my first purchase of mama earth brand. I was keen to experience the goodness what most people are talking about. Packaging was nice but when I use this gel form face wash my eyes burn like hell. I can't even open my eyes a bit while washing face. This never happened with other brands face washes I have used so far. If the company claims that all natural ingredients are used in this product then why it has burning sensation in eyes? I fail to understand.  Is it safe? I don't know!
B07WHJ5X6Q,Mamaearth-Vitamin-Face-Turmeric-Illumination,2020-09-02,4,"I was looking for a mild facewash ;mamaearth is a good choice it doesn't harm your skin because no sulphates and parabeanThings I like about this productIt have a plasent smellIt have active vitamin CIt suits for all skin typesCruelty freeAffordable priceOne thing I don't like about this,they are written on their package it promotes even skin tone, I believe that face wash is not for whitening the face otherwise I like all about this product."
B07WHJ5X6Q,Mamaearth-Vitamin-Face-Turmeric-Illumination,2021-02-11,5,The product is very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very nice product
B07WHJ5X6Q,Mamaearth-Vitamin-Face-Turmeric-Illumination,2020-06-28,5,Mamaearth vitamin C facewash is the best face wash i have ever used it has amazing fragrance and it makes your face cleaned deeply and yoh feels so refreshed. It has no added chemicals to it and good for both men and women and suitable for sensitive skin also as it has turmeric in it. One should try this amaing product.
B07WHJ5X6Q,Mamaearth-Vitamin-Face-Turmeric-Illumination,2020-06-25,5,Consistency is gel like and has a light scent of orange which is refreshing I don’t mind the scent though..And I love this product after first time use. My skin is smooth and supple now It definitely brightens my skin after wash and leaves no dry stretchy skin. I would recommend this product it’s good refreshing face wash.
B07WHJ5X6Q,Mamaearth-Vitamin-Face-Turmeric-Illumination,2020-09-01,4,It says vitamin c but it has only lemon essential oil which is not vitamin c. Vitamin c is water soluble substance which offcourse doesn't exist in lemon oil and in this product. But it is a nice facewash. Very hydrating
B07WHJ5X6Q,Mamaearth-Vitamin-Face-Turmeric-Illumination,2020-07-02,5,This Mama Earth Vitamin C Face wash is really amazing ... it has got the benefits of Vitamin C and Turmeric .. it’s totally paraben and SLS free .. it suits all skin types .. it’s made of natural ingredients which are good for the skin .. this is truly the best Face wash I’ve ever used .. a must buy for all .. a value for money product undoubtedly!!
B07WHJ5X6Q,Mamaearth-Vitamin-Face-Turmeric-Illumination,2020-10-05,1,"Don't believe positive reviews of this product...Whoever said in negative reviews are genuine..I too experienced same as like negative comments..In single wash, my face became too darker than before..I was shocked after seeing the results....I was purchased by believing all positive comments..Have doubt on ingredients ..Please don't purchase this product.. Otherwise you ended with darker skin on face.."
B07WHJ5X6Q,Mamaearth-Vitamin-Face-Turmeric-Illumination,2020-10-14,1,"Don't buy if you want your skin to be like what you've now. If you want pimples you can. I usually don't get pimples. Have oily skin, but i maintain my diet. But this product will make sure you get atleast 2 pimples. I tested it twice by not using it for few days in the middle and my skin went to normal. But when i used it again the same happened.I tested again after few months and the same result."
B07WHJ5X6Q,Mamaearth-Vitamin-Face-Turmeric-Illumination,2020-11-21,1,"This was for my son to wash his face if he kept the face wash on his hand for about 5 minutes his hands got super dry and skin coming out. I don't recommend this product. It's not the first time, the quality of cosmetics on Amazon is not good,  you get many fake products.  It's not the way amazon gives their products to customers"
B07WHJ5X6Q,Mamaearth-Vitamin-Face-Turmeric-Illumination,2021-08-06,1,This is my first purchase of mama earth brand. I was keen to experience the goodness what most people are talking about. Packaging was nice but when I use this gel form face wash my eyes burn like hell. I can't even open my eyes a bit while washing face. This never happened with other brands face washes I have used so far. If the company claims that all natural ingredients are used in this product then why it has burning sensation in eyes? I fail to understand.  Is it safe? I don't know!
B07WHJ5X6Q,Mamaearth-Vitamin-Face-Turmeric-Illumination,2020-09-02,4,"I was looking for a mild facewash ;mamaearth is a good choice it doesn't harm your skin because no sulphates and parabeanThings I like about this productIt have a plasent smellIt have active vitamin CIt suits for all skin typesCruelty freeAffordable priceOne thing I don't like about this,they are written on their package it promotes even skin tone, I believe that face wash is not for whitening the face otherwise I like all about this product."
B07WHJ5X6Q,Mamaearth-Vitamin-Face-Turmeric-Illumination,2021-02-11,5,The product is very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very nice product
